selectBlock,category,paths,semantic,action,image1,number,image4,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
3,object,trial_images_objects\r_whisk.png,n,n,,116,,whisk,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,11,,,,,,,,,,,231.283390452,1406741351,1406741352,231.812890922,,,None,,2.5,234.282083478,,,1406741354,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,animal,trial_images_animals\r_deer_fallow.png,n,n,,71,,deer_fallow,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,13,,,,,,,,,,,236.781332195,1406741357,1406741357,237.291525983,,,None,,1.5,239.780092231,,,1406741360,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,object,trial_images_objects\r_scoop.png,n,n,,110,,scoop,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,0,,,,,,,,,,,241.279667238,1406741361,1406741362,241.78936178,,,None,,1.5,244.278418218,,,1406741364,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,object,trial_images_objects\r_key.png,n,n,,108,,key,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,245.778026428,1406741366,1406741366,246.287337028,,,None,,1.5,248.776705268,,,1406741369,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,animal,trial_images_animals\r_koala.png,f,n,,88,,koala,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,3,,,,,,,,,,,250.276295066,1406741370,1406741371,250.791352123,1406741371,251.642178474,3,0.850560428953,0.5,253.275110942,,,1406741373,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,object,trial_images_objects\r_hairbrush.png,n,n,,106,,hairbrush,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,12,,,,,,,,,,,253.775030652,1406741374,1406741374,254.30077199,,,None,,1.5,256.790387136,,,1406741377,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,animal,trial_images_animals\r_duck_mallard.png,n,n,,73,,duck_mallard,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,1,,,,,,,,,,,258.289990516,1406741378,1406741379,258.801156234,,,None,,2.5,261.288792508,,,1406741381,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,animal,trial_images_animals\r_vole.png,n,n,,79,,vole,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,6,,,,,,,,,,,263.787946748,1406741384,1406741384,264.300428494,1406741386,265.920227842,3,1.61950897646,1.5,266.786760511,,,1406741387,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,object,trial_images_objects\r_paint_roller.png,n,v,,117,,paint_roller,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,2,,,,,,,,,,,268.286249494,1406741388,1406741389,268.796439962,,,None,,0.5,271.284967271,,,1406741391,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,object,trial_images_objects\r_pencil.png,n,n,,111,,pencil,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,9,,,,,,,,,,,271.784926523,1406741392,1406741392,272.294078053,,,None,,3.5,274.783642489,,,1406741395,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
