selectBlock,category,paths,semantic,action,image2,number,image1,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
4,object,trial_images_objects\r_stapler.png,n,n,,97,,stapler,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,13,,,,,,,,,,,218.177153346,1396456400,1396456400,218.688931825,1396456402,220.84259975,3,2.15336125005,1.5,221.175985202,,,1396456403,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,object,trial_images_objects\r_handbell.png,n,v,,91,,handbell,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,12,,,,,,,,,,,222.675510852,1396456404,1396456405,223.186498796,1396456406,224.824479942,3,1.63770827743,2.5,225.674387381,,,1396456407,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,object,trial_images_objects\r_whisk.png,n,n,,116,,whisk,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,11,,,,,,,,,,,228.173569832,1396456410,1396456410,228.683602434,,,None,,0.5,231.172296042,,,1396456413,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,animal,trial_images_animals\r_goose_canada.png,n,n,,77,,goose_canada,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,9,,,,,,,,,,,231.672273253,1396456413,1396456414,232.182474889,,,None,,3.5,234.671044438,,,1396456416,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,animal,trial_images_animals\r_fox2.png,n,n,,74,,fox2,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,3,,,,,,,,,,,238.169993863,1396456420,1396456420,238.684446999,,,None,,0.5,241.168732148,,,1396456423,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,animal,trial_images_animals\r_hedgehog.png,n,n,,80,,hedgehog,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,2,,,,,,,,,,,241.668732902,1396456423,1396456424,242.181406656,,,None,,1.5,244.667494429,,,1396456426,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,object,trial_images_objects\r_cutteknife.png,n,n,,102,,cutterknife,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,10,,,,,,,,,,,246.16712512,1396456428,1396456428,246.675965733,,,None,,1.5,249.165899324,,,1396456431,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,object,trial_images_objects\r_scissors.png,n,n,,114,,scissors,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,7,,,,,,,,,,,250.665526092,1396456432,1396456433,251.173586433,,,None,,3.5,253.664266187,,,1396456435,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,animal,trial_images_animals\r_robin.png,n,n,,62,,robin,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,4,,,,,,,,,,,257.163220744,1396456439,1396456439,257.675857371,,,None,,2.5,260.161988307,,,1396456442,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,animal,trial_images_animals\r_highland_cow.png,n,n,,69,,highland_cow,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,1,,,,,,,,,,,262.677950974,1396456444,1396456445,263.191110699,,,None,,1.5,265.67666179,,,1396456447,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
