selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2loop.thisTrial,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,startfixtime,ActInstr_startAbstime,ActInstr_starttime,startfixAbstime,Respgettime,date,frameRate,expName,session,participant
4,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,,cleaningbrush,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,12,,,,,,,,,,,,4,,1394740653,300.82091,3,1394740655,302.7592539,1.937972308,296.8291675,1394740644,291.8166697,1394740649,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,,eyelash_curlers,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,4,,1394740660,307.8143893,None,,,,303.8094702,,,1394740656,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,animal,trial_images_animals\r_cow_dairy.png,n,n,,9,,cow_dairy,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,13,,,,,,,,,,,,2,,1394740665,312.8204898,None,,,,310.8067035,,,1394740663,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,object,trial_images_objects\r_corkscrew.png,n,n,,41,,corkscrew,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,6,,,,,,,,,,,,4,,1394740672,319.8110657,3,1394740673,321.1024045,1.291063535,315.8048505,,,1394740668,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,animal,trial_images_animals\r_badger.png,n,n,,1,,badger1,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,1,,,,,,,,,,,,1,,1394740676,323.8201611,None,,,,322.802338,,,1394740675,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,object,trial_images_objects\r_pruning_shear.png,n,n,,45,,pruning_shear,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,3,,,,,,,,,,,,3,,1394740682,329.8251053,None,,,,326.8174784,,,1394740679,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,object,trial_images_objects\r_iron.png,n,n,,39,,iron,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,0,,,,,,,,,,,,3,,1394740688,335.8241539,None,,,,332.8152441,,,1394740685,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,animal,trial_images_animals\r_cricket_green.png,n,v,,10,,cricket_green,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,14,,,,,,,,,,,,3,,1394740694,341.8240413,3,1394740695,342.6444482,0.820146043,338.813028,,,1394740691,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,animal,trial_images_animals\r_mole.png,n,n,,20,,mole,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,10,,,,,,,,,,,,4,,1394740701,348.8184424,None,,,,344.8108825,,,1394740697,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,animal,trial_images_animals\r_butterfly.png,n,n,,6,,butterfly,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,1,,1394740705,352.8214068,None,,,,351.808248,,,1394740704,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
