selectBlock,category,paths,semantic,action,image1,number,image4,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,startJitAbstime,date,frameRate,expName,session,participant,
3,animal,trial_images_animals\r_polecat.png,n,n,,89,,polecat,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,6,,,,,,,,,,,203.207949081,1407428644,1407428644,203.718160105,None,2.5,206.206610128,,,,,,1407428647,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,animal,trial_images_animals\r_wallaby.png,f,v,,83,,wallaby,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,11,,,,,,,,,,,208.705839687,1407428649,1407428650,209.216105042,3,0.5,211.704612415,,,1407428651,210.155019699,0.938597425867,1407428652,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,object,trial_images_objects\r_hairbrush.png,n,n,,106,,hairbrush,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,2,,,,,,,,,,,212.204483379,1407428653,1407428653,212.713310476,None,0.5,215.203149256,,,,,,1407428656,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,animal,trial_images_animals\r_ladybird.png,n,n,,72,,ladybird,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,5,,,,,,,,,,,215.703115601,1407428656,1407428657,216.212863002,None,2.5,218.701805322,,,,,,1407428659,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,animal,trial_images_animals\r_otter.png,n,n,,86,,otter,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,12,,,,,,,,,,,221.201057519,1407428662,1407428662,221.713341264,None,1.5,224.199722188,,,,,,1407428665,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,object,trial_images_objects\r_crosscut_saw.png,n,n,,100,,crosscut_saw,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,7,,,,,,,,,,,225.699297653,1407428666,1407428667,226.206784893,None,1.5,228.697982244,,,,,,1407428669,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,object,trial_images_objects\r_tweezers.png,n,n,,103,,tweezers,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,1,,,,,,,,,,,230.197577932,1407428671,1407428671,230.706233888,None,0.5,233.196235659,,,,,,1407428674,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,object,trial_images_objects\r_african_sickle.png,f,n,,94,,african_sickle,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,3,,,,,,,,,,,233.696215889,1407428674,1407428675,234.203795189,None,1.5,236.694880256,,,,,,1407428677,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,animal,trial_images_animals\r_swan2.png,n,n,,90,,swan2,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,13,,,,,,,,,,,238.211158221,1407428679,1407428679,238.724392453,None,0.5,241.209805384,,,,,,1407428682,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,animal,trial_images_animals\r_jerboas.png,f,v,,82,,jerboas,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,9,,,,,,,,,,,241.709805233,1407428682,1407428683,242.221318687,3,3.5,244.708537514,,,1407428685,243.875371147,1.65377688206,1407428685,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,animal,trial_images_animals\r_hedgehog.png,n,n,,80,,hedgehog,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,4,,,,,,,,,,,248.207330917,1407428689,1407428689,248.726328139,None,1.5,251.206002227,,,,,,1407428692,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,animal,trial_images_animals\r_moth.png,n,n,,66,,moth,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,10,,,,,,,,,,,252.705582521,1407428693,1407428694,253.215300946,None,1.5,255.704262283,,,,,,1407428696,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,animal,trial_images_animals\r_goose_canada.png,n,n,,77,,goose_canada,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,8,,,,,,,,,,,257.20387095,1407428698,1407428698,257.71376927,None,2.5,260.202536223,,,,,,1407428701,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,object,trial_images_objects\r_cakeslicer.png,n,n,,92,,,cakeslicer,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,268.733269203,1407428709,1407428710,269.223419479,3,0.5,271.714895729,1407428706,265.714373247,1407428711,270.748436857,1.52467781072,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,animal,trial_images_animals\r_highland_cow.png,n,n,,69,,,highland_cow,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,10,,,,,,,272.214636299,1407428713,1407428713,272.727318469,None,1.5,275.213328436,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,object,trial_images_objects\r_squeezer.png,n,n,,101,,,squeezer,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,276.712923218,1407428717,1407428718,277.223683889,None,1.5,279.711602979,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,animal,trial_images_animals\r_pony.png,n,n,,81,,,pony,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,281.211206817,1407428722,1407428722,281.724657165,None,0.5,284.209894426,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,animal,trial_images_animals\r_owl_whitebarn.png,n,n,,85,,,owl_whitebarn,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,284.709834511,1407428725,1407428726,285.221414672,None,3.5,287.708534496,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,animal,trial_images_animals\r_deer_fallow.png,n,n,,71,,,deer_fallow,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,291.207397925,1407428732,1407428732,291.718539213,3,0.5,294.206132017,,,1407428734,292.889896491,1.17107536076,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,object,trial_images_objects\r_cutteknife.png,n,n,,102,,,cutterknife,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,13,,,,,,,294.722652056,1407428735,1407428736,295.231285374,None,1.5,297.721342985,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,object,trial_images_objects\r_paint_roller.png,n,v,,117,,,paint_roller,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,299.220950747,1407428740,1407428740,299.729878054,3,2.5,302.219699931,,,1407428741,300.653551409,0.923402907966,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,animal,trial_images_animals\r_vole.png,n,n,,79,,,vole,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,304.718856747,1407428745,1407428746,305.229653336,None,2.5,307.717506324,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,animal,trial_images_animals\r_grasshopper_common.png,n,v,,70,,,grasshopper_common,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,11,,,,,,,310.216752182,1407428751,1407428751,310.724855774,3,0.5,313.215488085,,,1407428752,311.782603394,1.05747717276,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,animal,trial_images_animals\r_goat2.png,n,n,,76,,,goat2,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,12,,,,,,,313.71538048,1407428754,1407428755,314.225511215,None,1.5,316.714040924,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,object,trial_images_objects\r_screwdriver.png,n,n,,115,,,screwdriver,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,9,,,,,,,318.213688528,1407428759,1407428759,318.722623382,None,0.5,321.212324825,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,animal,trial_images_animals\r_duck_mallard.png,n,n,,73,,,duck_mallard,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,1,,,,,,,321.71230113,1407428762,1407428763,322.223461132,None,1.5,324.710985419,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,object,trial_images_objects\r_hammer.png,n,v,,107,,,hammer,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,4,,,,,,,326.210559073,1407428767,1407428767,326.719627339,3,2.5,329.209356853,,,1407428768,327.676579827,0.95668083393,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
2,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
