selectBlock,category,paths,semantic,action,image3,number,image1,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
2,,,,,,,,,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,object,trial_images_objects\r_wok.png,f,n,,44,,,wok,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,2,,,,,,,1407170141,495.6654002,1407170141,496.1565904,None,0.5,1407170144,498.6464758,,,,1407170138,492.6561878,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,,,seagull_herring,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,1407170144,499.1462844,1407170145,499.6583511,None,1.5,1407170147,502.1451217,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,animal,trial_images_animals\r_frog.png,n,v,,15,,,frog,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,12,,,,,,,1407170149,503.6447658,1407170149,504.154977,3,2.5,1407170152,506.6436758,1407170150,505.0107006,0.855428913,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,object,trial_images_objects\r_iron.png,n,n,,39,,,iron,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,0,,,,,,,1407170154,509.1428913,1407170155,509.6533676,None,0.5,1407170157,512.1416791,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,,,cleaningbrush,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,10,,,,,,,1407170158,512.6583034,1407170158,513.1684706,None,2.5,1407170161,515.6570818,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,object,trial_images_objects\r_toothbrush.png,n,n,,38,,,toothbrush,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,9,,,,,,,1407170163,518.1564268,1407170164,518.6667166,None,0.5,1407170166,521.1552318,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,animal,trial_images_animals\r_blackbird.png,n,n,,4,,,blackbird,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,13,,,,,,,1407170167,521.6551941,1407170167,522.1668778,None,2.5,1407170170,524.6540078,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,,,bulldog_english,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,3,,,,,,,1407170172,527.1533181,1407170173,527.6668977,None,1.5,1407170175,530.1520829,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,object,trial_images_objects\r_staple_remover.png,n,n,,54,,,staple_remover,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,7,,,,,,,1407170177,531.6517581,1407170177,532.1612706,3,0.5,1407170180,534.6506075,1407170179,533.9506884,1.789148815,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,object,trial_images_objects\r_chi_instrument.png,f,n,,31,,,chi_instrument,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,8,,,,,,,1407170180,535.150522,1407170181,535.6581208,None,1.5,1407170183,538.1492953,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,animal,trial_images_animals\r_cat_wild.png,n,n,,8,,,cat_wild,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,6,,,,,,,1407170185,539.6489947,1407170185,540.1587272,None,2.5,1407170188,542.6477797,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,animal,trial_images_animals\r_sheep.png,n,n,,27,,,sheep1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,4,,,,,,,1407170190,545.1471238,1407170191,545.6579611,None,3.5,1407170193,548.1458893,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,object,trial_images_objects\r_pitchfork.png,n,n,,52,,,pitchfork,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,5,,,,,,,1407170197,551.6448569,1407170197,552.1545351,None,0.5,1407170200,554.6436384,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,animal,trial_images_animals\r_camel.png,f,n,,7,,,camel,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,11,,,,,,,1407170200,555.143696,1407170201,555.6554799,None,1.5,1407170203,558.1424092,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
