selectBlock,category,paths,semantic,action,image2,number,image3,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
1,object,trial_images_objects\r_toothbrush.png,n,n,,38,,toothbrush,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,579.2510853,1397060759,1397060760,579.7622086,,,None,,1.5,582.2498086,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,object,trial_images_objects\r_compass.png,n,n,,37,,compass,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,12,,,,,,,,,,,583.7660504,1397060764,1397060764,584.2727173,,,None,,3.5,586.7647395,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,animal,trial_images_animals\r_fox_red.png,n,n,,14,,fox_red,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,590.2636096,1397060770,1397060771,590.7749366,,,None,,2.5,593.2622929,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,object,trial_images_objects\r_pruning_shear.png,n,n,,45,,pruning_shear,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,,,595.7615222,1397060776,1397060776,596.2703539,,,None,,3.5,598.7602216,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,animal,trial_images_animals\r_kangaroo_red.png,f,v,,23,,kangaroo_red,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,602.2590717,1397060782,1397060783,602.7717965,1397060784,603.4751246,4,0.703023558,1.5,605.2578816,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,object,trial_images_objects\r_pen.png,n,n,,51,,pen1,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,606.7573625,1397060787,1397060787,607.2668489,,,None,,1.5,609.7560607,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,object,trial_images_objects\r_iron.png,n,n,,39,,iron,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,611.2556398,1397060791,1397060792,611.76653,,,None,,1.5,614.2543564,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,animal,trial_images_animals\r_springbok.png,f,n,,28,,springbok,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,12,12,5,,,,,,,,,,,615.7539493,1397060796,1397060796,616.2653633,1397060797,617.1865934,4,0.92094698,2.5,618.7527601,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,object,trial_images_objects\r_staple_remover.png,n,n,,54,,staple_remover,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,13,13,3,,,,,,,,,,,621.2518858,1397060801,1397060802,621.7606318,,,None,,2.5,624.2505795,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
