selectBlock,category,paths,semantic,action,image3,number,image4,image2,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant,
2,object,trial_images_objects\r_bottle_cleaner.png,n,n,,98,,bottle_cleaner,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,1397061156,238.857145315,1397061156,239.364905462,4,0.5,,241.855924072,,,1397061158,241.306043102,1.9408554197,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_deer_fallow.png,n,n,,71,,deer_fallow,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,1397061159,242.355830652,1397061160,242.865400027,None,0.5,,245.354523385,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,,65,,bulldog_whiteenglish,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,1397061163,245.854479467,1397061163,246.365908174,None,1.5,,248.853232567,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,object,trial_images_objects\r_key.png,n,n,,108,,key,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,4,,,,,,,,,,,1397061167,250.352808633,1397061168,250.860735396,None,2.5,,253.368141787,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_duck_mallard.png,n,n,,73,,duck_mallard,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,7,,,,,,,,,,,1397061173,255.867384321,1397061173,256.378585742,None,0.5,,258.866091239,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_otter.png,n,n,,86,,otter,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,13,,,,,,,,,,,1397061176,259.366066036,1397061177,259.877900415,None,2.5,,262.364781406,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,object,trial_images_objects\r_pincer.png,n,n,,119,,pincer,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,11,,,,,,,,,,,1397061182,264.863988926,1397061182,265.372734278,None,1.5,,267.862669585,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_crow.png,n,n,,64,,crow,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,9,,,,,,,,,,,1397061186,269.362293945,1397061187,269.872410857,4,3.5,,272.361057006,,,1397061188,270.861584169,0.988885659204,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,,,,,,,,,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
