selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,startJitAbstime,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
4,object,trial_images_objects\r_pitchfork.png,n,n,,52,,pitchfork,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,1,,,,,,,,,,,309.6185759,1411119103,1411119104,310.1272572,1411119105,311.600882,3,1.473353199,0.5,312.6340288,1411119106,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,animal,trial_images_animals\r_stoat.png,n,n,,29,,stoat,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,4,,,,,,,,,,,313.1339307,1411119107,1411119107,313.6476899,,,None,,2.5,316.1326853,1411119110,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_knife_table.png,n,n,,42,,knife_table,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,12,,,,,,,,,,,318.6319877,1411119112,1411119113,319.1400409,1411119114,320.6309352,3,1.490610232,3.5,321.6307716,1411119115,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_pepper_mill.png,n,n,,35,,peppemill,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,0,,,,,,,,,,,325.1296055,1411119119,1411119119,325.6371894,1411119121,327.7783414,3,2.140868852,2.5,328.1283918,1411119122,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,animal,trial_images_animals\r_goat.png,n,n,,16,,goat1,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,8,,,,,,,,,,,330.6276043,1411119124,1411119125,331.1390632,,,None,,2.5,333.6263212,1411119127,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_pen.png,n,n,,51,,pen1,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,6,,,,,,,,,,,336.1256091,1411119130,1411119130,336.6339316,1411119131,337.7747129,3,1.140509054,2.5,339.1243933,1411119133,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_chi_instrument.png,f,n,,31,,chi_instrument,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,10,,,,,,,,,,,341.6235976,1411119135,1411119136,342.1313819,,,None,,1.5,344.6223172,1411119138,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,animal,trial_images_animals\r_owl.png,n,n,,25,,owl2,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,13,,,,,,,,,,,346.1219502,1411119140,1411119140,346.6327547,,,None,,1.5,349.1206848,1411119143,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_coping_saw.png,n,n,,40,,coping_saw,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,9,,,,,,,,,,,350.6203127,1411119144,1411119145,351.12747,1411119146,352.33606,3,1.208333434,0.5,353.6191433,1411119147,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
