selectBlock,category,paths,semantic,action,image3,number,image1,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
2,animal,trial_images_animals\r_cat_wild.png,n,n,,8,,cat_wild,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,1406741021,773.2280276,1406741022,773.7391112,,,None,,0.5,,776.22672,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,,eyelash_curlers,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,9,,,,,,,,,,,1406741025,776.7267128,1406741025,777.2346714,,,None,,0.5,,779.7254354,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,,,,,,,,,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,object,trial_images_objects\r_nail_file.png,n,n,,53,,,nail_file,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,6,,,,,,,1406741034,786.2569105,1406741035,786.7500672,,,None,,0.5,1406741037,789.2388052,1406741031,783.25026,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,object,trial_images_objects\r_chi_instrument.png,f,n,,31,,,chi_instrument,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,10,,,,,,,1406741038,789.7386286,1406741038,790.247251,,,None,,0.5,1406741041,792.7373774,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,animal,trial_images_animals\r_sheep.png,n,n,,27,,,sheep1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,12,,,,,,,1406741041,793.2373596,1406741042,793.7497345,,,None,,0.5,1406741044,796.2360539,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,animal,trial_images_animals\r_seal_grey.png,n,n,,26,,,seal_grey,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,1,,,,,,,1406741045,796.736043,1406741045,797.2484786,,,None,,3.5,1406741048,799.7347774,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,animal,trial_images_animals\r_frog.png,n,v,,15,,,frog,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,1406741051,803.2502908,1406741052,803.7608625,1406741053,804.7328184,3,0.971648036,0.5,1406741054,806.2491182,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,,,cleaningbrush,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,0,,,,,,,1406741055,806.7489896,1406741055,807.3075372,,,None,,2.5,1406741058,809.7477053,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,object,trial_images_objects\r_corkscrew.png,n,n,,41,,,corkscrew,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,3,,,,,,,1406741060,812.2469443,1406741061,812.7687089,,,None,,2.5,1406741063,815.245625,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,animal,trial_images_animals\r_duck_white.png,n,n,,13,,,duck_white,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,13,,,,,,,1406741066,817.7449268,1406741066,818.2581357,,,None,,3.5,1406741069,820.7436295,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,,,bulldog_english,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,1406741072,824.2424873,1406741073,824.7574704,,,None,,0.5,1406741075,827.2411677,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,object,trial_images_objects\r_spanner.png,n,n,,55,,,spanner,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,2,,,,,,,1406741076,827.7411348,1406741076,828.2500617,,,None,,0.5,1406741079,830.7398746,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,animal,trial_images_animals\r_stoat.png,n,n,,29,,,stoat,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,5,,,,,,,1406741079,831.2398685,1406741080,831.7534559,,,None,,2.5,1406741082,834.2385921,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,object,trial_images_objects\r_pizza_slicer.png,n,n,,57,,,pizza_slicer,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,9,,,,,,,1406741085,836.7378501,1406741085,837.2453156,,,None,,1.5,1406741088,839.7365208,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,animal,trial_images_animals\r_bug_common.png,n,n,,3,,,bug_common,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,7,,,,,,,1406741089,841.2361411,1406741090,841.7492866,,,None,,1.5,1406741092,844.2348254,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,animal,trial_images_animals\r_horse.png,n,n,,21,,,horse,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,11,,,,,,,1406741094,845.7511076,1406741094,846.2668016,,,None,,0.5,1406741097,848.7498384,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
