selectBlock,category,paths,semantic,action,image2,number,image4,image3,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1loop.thisTrial,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,Respgettime,key_resp_2.rt,startfixAbstime,startfixtime,RespgetTime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
3,object,trial_images_objects\r_scoop.png,n,n,,110,,scoop,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,14,,,,,,,,,,,,3,,1393508476,255.0429429,None,,,,,252.0501045,,1393508469,248.030253,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_moth.png,n,n,,66,,moth,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,7,,,,,,,,,,,,4,,1393508483,262.0410035,None,,,,,258.029716,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_dog_terrier.png,n,n,,68,,dog_terrier,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,13,,,,,,,,,,,,1,,1393508487,266.0372371,None,,,,,265.0270767,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_jerboas.png,f,v,,82,,jerboas,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,2,,1393508492,271.0380415,3,1393508494,,1.802124567,,269.0256499,272.8404984,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_penguin.png,f,n,,84,,penguin,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,6,,,,,,,,,,,,3,,1393508498,277.0319452,3,1393508499,,0.73977515,,274.0239285,277.7719944,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_screwdriver.png,n,n,,115,,screwdriver,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,10,,,,,,,,,,,,3,,1393508504,283.0294703,None,,,,,280.02175,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_beaver.png,n,n,,63,,beaver,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,11,,,,,,,,,,,,3,,1393508510,289.036267,None,,,,,286.0195043,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_rake.png,n,n,,112,,rake,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,4,,,,,,,,,,,,1,,1393508514,293.0247733,None,,,,,292.0173395,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_polecat.png,n,n,,89,,polecat,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,2,,,,,,,,,,,,3,,1393508520,299.0443235,None,,,,,296.0326122,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_robin.png,n,n,,62,,robin,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,12,,,,,,,,,,,,1,,1393508524,303.0420374,None,,,,,302.0304311,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
