selectBlock,category,paths,semantic,action,image1,number,image2,image3,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
3,object,trial_images_objects\r_iron.png,n,n,,39,,iron,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,5,,,,,,,,,,,237.5484705,1407436989,1407436989,238.0584083,None,3.5,240.5471173,,,,,,1407436992,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,object,trial_images_objects\r_coping_saw.png,n,n,,40,,coping_saw,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,13,,,,,,,,,,,244.0459772,1407436995,1407436996,244.5529467,None,3.5,247.061277,,,,,,1407436998,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,animal,trial_images_animals\r_butterfly.png,n,n,,6,,butterfly,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,250.5601507,1407437002,1407437002,251.0732838,None,1.5,253.5588018,,,,,,1407437005,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,object,trial_images_objects\r_axe.png,n,v,,34,,axe,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,9,,,,,,,,,,,255.0583905,1407437006,1407437007,255.5654594,None,0.5,258.0570718,,,,,,1407437009,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,object,trial_images_objects\r_pasta_spoon.png,n,n,,50,,pasta_spoon,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,3,,,,,,,,,,,258.5570457,1407437010,1407437010,259.0678915,None,0.5,261.555704,,,,,,1407437013,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,animal,trial_images_animals\r_bat.png,n,n,,2,,bat,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,1,,,,,,,,,,,262.0556776,1407437013,1407437014,262.5676825,None,1.5,265.0543673,,,,,,1407437016,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,object,trial_images_objects\r_maracas.png,f,v,,60,,maracas,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,6,,,,,,,,,,,266.55395,1407437018,1407437018,267.0636289,3,1.5,269.5527264,1407437020,268.6196493,1.555696178,,,1407437021,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,animal,trial_images_animals\r_mole.png,n,n,,20,,mole,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,7,,,,,,,,,,,271.0522587,1407437022,1407437023,271.5616689,None,2.5,274.050933,,,,,,1407437025,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,animal,trial_images_animals\r_horse.png,n,n,,21,,horse,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,0,,,,,,,,,,,276.5501375,1407437028,1407437028,277.0640938,None,2.5,279.548823,,,,,,1407437031,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,,harvest_mouse,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,4,,,,,,,,,,,282.0480713,1407437033,1407437034,282.5593572,None,1.5,285.046685,,,,,,1407437036,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
