selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
2,animal,trial_images_animals\r_camel.png,f,n,7,,,camel,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,2,,,,,,,,,,,1395344319,208.1793297,1395344319,208.6901242,,,None,,1,,211.1778069,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_pitchfork.png,n,n,52,,,pitchfork,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,1395344323,212.177615,1395344323,212.6865778,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,animal,trial_images_animals\r_cat_wild.png,n,n,8,,,cat_wild,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,1395344326,215.1767058,1395344326,215.6860013,,,None,,3,,218.1752144,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_pizza_slicer.png,n,n,57,,,pizza_slicer,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,1395344332,221.1909277,1395344332,221.6977985,,,None,,2,,224.1896255,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_toothbrush.png,n,n,38,,,toothbrush,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,5,,,,,,,,,,,1395344337,226.1890659,1395344337,226.7001414,,,None,,1,,229.1877632,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,,,,,,,,,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,animal,trial_images_animals\r_swan_bewick.png,n,n,30,,,,swan_bewick,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,9,,,,,,,1395344349,238.2186053,1395344349,238.7124275,,,None,,3,1395344352,241.2002407,1395344345,234.2054453,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_paintbrush.png,n,v,58,,,,paintbrush,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,11,,,,,,,1395344355,244.1991399,1395344355,244.7088504,,,None,,3,1395344358,247.1978248,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_chi_instrument.png,f,n,31,,,,chi_instrument,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,1395344361,250.1968878,1395344361,250.7049066,1395344362,251.7960467,3,1.09082378,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,animal,trial_images_animals\r_sheep.png,n,n,27,,,,sheep1,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,1395344364,253.1961139,1395344364,253.7064985,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_corkscrew.png,n,n,41,,,,corkscrew,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,1395344367,256.2115419,1395344367,256.7193898,,,None,,2,1395344370,259.2100412,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_spatula.png,n,n,32,,,,spatula,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,1395344372,261.2094444,1395344372,261.7172754,,,None,,1,1395344375,264.2081405,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_pliers.png,n,n,59,,,,pliers,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,1395344376,265.207944,1395344376,265.7194499,,,None,,2,1395344379,268.2066756,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,animal,trial_images_animals\r_frog.png,n,v,15,,,,frog,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,1395344381,270.2061094,1395344381,270.7171954,,,None,,1,1395344384,273.2048444,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,animal,trial_images_animals\r_owl.png,n,n,25,,,,owl2,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,13,,,,,,,1395344385,274.2046261,1395344385,274.7154604,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_axe.png,n,v,34,,,,axe,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,10,,,,,,,1395344388,277.2037445,1395344388,277.7107312,,,None,,2,1395344391,280.2022503,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,animal,trial_images_animals\r_badger.png,n,n,1,,,,badger1,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,8,,,,,,,1395344393,282.2016545,1395344393,282.7139364,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_nail_file.png,n,n,53,,,,nail_file,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,1,,,,,,,1395344396,285.2007472,1395344396,285.7101583,,,None,,1,1395344399,288.1992597,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_spanner.png,n,n,55,,,,spanner,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,2,,,,,,,1395344400,289.1990342,1395344400,289.7060913,,,None,,2,1395344403,292.197797,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,object,trial_images_objects\r_iron.png,n,n,39,,,,iron,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,12,,,,,,,1395344405,294.1971888,1395344405,294.7066343,,,None,,1,1395344408,297.1958848,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
3,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
